model,type,mean,std,lb,ub
MLE,NGT,0.7055704332236595,0.790928968186634,0.30531250454104764,1.1058283619062714
partial_pooling,NGT,0.49770832623255,0.8893666635443691,0.04763496578175974,0.9477816866833403
no_pooling,NGT,0.513929504683113,0.8195915105658378,0.09916659476333584,0.9286924146028903
MLE,IGT,1.8552722292094994,1.8415725418119848,0.24109238620438256,3.469452072214616
partial_pooling,IGT,0.43292651764213214,0.23679848175622828,0.22536731080848527,0.640485724475779
no_pooling,IGT,0.36261585219746867,0.1984731803564303,0.18864963591513598,0.5365820684798014
MLE,T2DM,0.3631923566677927,0.6541984942688807,0.03212832336567967,0.6942563899699057
partial_pooling,T2DM,0.5609371691561659,1.0626229810751553,0.0231856257390316,1.0986887125733
no_pooling,T2DM,0.6734968733803436,0.9356678134137361,0.19999232873000977,1.1470014180306773
