Dataset,Partial_Pooling_DIC,No_Pooling_DIC,DIC_Difference,Better_Model
Ohashi (Full),221.277,305.657,-84.38,Partial Pooling
Ohashi (Reduced),206.514,210.565,-4.051,Partial Pooling
