Beta,Glucose,Production
0.035661849984324846,0.0,0.0
0.11009812515131538,0.0,0.0
0.18453440031830592,0.0,0.0
0.2589706754852964,0.0,0.0
0.333406950652287,0.0,0.0
0.4078432258192775,0.0,0.0
0.482279500986268,0.0,0.0
0.5567157761532585,0.0,0.0
0.6311520513202491,0.0,0.0
0.7055883264872397,0.0,0.0
0.7800246016542302,0.0,0.0
0.8544608768212207,0.0,0.0
0.9288971519882112,0.0,0.0
1.003333427155202,0.0,0.0
1.0777697023221922,0.0,0.0
1.1522059774891829,0.0,0.0
1.2266422526561733,0.0,0.0
1.3010785278231638,0.0,0.0
1.3755148029901545,0.0,0.0
1.449951078157145,0.0,0.0
0.035661849984324846,1.1078000000000001,0.14645004744611217
0.11009812515131538,1.1078000000000001,0.10388719530905421
0.18453440031830592,1.1078000000000001,0.07405030924129266
0.2589706754852964,1.1078000000000001,0.05537900507619803
0.333406950652287,1.1078000000000001,0.04393333524041351
0.4078432258192775,1.1078000000000001,0.036742791926567625
0.482279500986268,1.1078000000000001,0.03201752460652177
0.5567157761532585,1.1078000000000001,0.02872280939049776
0.6311520513202491,1.1078000000000001,0.026248300349367204
0.7055883264872397,1.1078000000000001,0.02422219732487374
0.7800246016542302,1.1078000000000001,0.022412998061071387
0.8544608768212207,1.1078000000000001,0.020676166907301508
0.9288971519882112,1.1078000000000001,0.018923419686134146
1.003333427155202,1.1078000000000001,0.017103872804736353
1.0777697023221922,1.1078000000000001,0.0151918345948171
1.1522059774891829,1.1078000000000001,0.013178575187250685
1.2266422526561733,1.1078000000000001,0.011066622791007119
1.3010785278231638,1.1078000000000001,0.008865739965632391
1.3755148029901545,1.1078000000000001,0.006590057264777516
1.449951078157145,1.1078000000000001,0.004256026343743224
0.035661849984324846,2.2156000000000002,0.24826562869791025
0.11009812515131538,2.2156000000000002,0.1835680100117752
0.18453440031830592,2.2156000000000002,0.1321414892944622
0.2589706754852964,2.2156000000000002,0.09816114016907596
0.333406950652287,2.2156000000000002,0.07698879784215487
0.4078432258192775,2.2156000000000002,0.06355955912143577
0.482279500986268,2.2156000000000002,0.05456980096664696
0.5567157761532585,2.2156000000000002,0.04812801094563429
0.6311520513202491,2.2156000000000002,0.04316331514924315
0.7055883264872397,2.2156000000000002,0.03905125639670565
0.7800246016542302,2.2156000000000002,0.035415225691155294
0.8544608768212207,2.2156000000000002,0.03202331681704579
0.9288971519882112,2.2156000000000002,0.028732604763546554
1.003333427155202,2.2156000000000002,0.025457139374320203
1.0777697023221922,2.2156000000000002,0.022148391791967703
1.1522059774891829,2.2156000000000002,0.01878268146446288
1.2266422526561733,2.2156000000000002,0.015352779322947763
1.3010785278231638,2.2156000000000002,0.011862152805622028
1.3755148029901545,2.2156000000000002,0.008320957601501755
1.449951078157145,2.2156000000000002,0.0047432240572281015
0.035661849984324846,3.3234,0.32989996473072947
0.11009812515131538,3.3234,0.25480120299561493
0.18453440031830592,3.3234,0.18583739362722282
0.2589706754852964,3.3234,0.13660771279292228
0.333406950652287,3.3234,0.10528166815993215
0.4078432258192775,3.3234,0.08557133977582013
0.482279500986268,3.3234,0.07257998866174784
0.5567157761532585,3.3234,0.06339873431563586
0.6311520513202491,3.3234,0.05640603538682415
0.7055883264872397,3.3234,0.05068572693385226
0.7800246016542302,3.3234,0.0457009335664762
0.8544608768212207,3.3234,0.041126725344458326
0.9288971519882112,3.3234,0.036763324699991384
1.003333427155202,3.3234,0.032488661466514746
1.0777697023221922,3.3234,0.028230690366719102
1.1522059774891829,3.3234,0.0239502363628864
1.2266422526561733,3.3234,0.01962984757148073
1.3010785278231638,3.3234,0.015266304235260153
1.3755148029901545,3.3234,0.010865473982727691
1.449951078157145,3.3234,0.006438735519158523
0.035661849984324846,4.4312000000000005,0.4111460530633344
0.11009812515131538,4.4312000000000005,0.33453602281479833
0.18453440031830592,4.4312000000000005,0.2509329068961548
0.2589706754852964,4.4312000000000005,0.18375004397563038
